"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2023","18.021,00","18.005,00","18.100,00","17.915,00","14,77K","0,14%"
"06.11.2023","17.996,00","18.250,00","18.270,00","17.906,00","12,54K","-1,31%"
"03.11.2023","18.235,00","17.971,00","18.550,00","17.860,00","39,87K","1,38%"
"02.11.2023","17.986,00","17.770,00","18.132,00","17.750,00","14,96K","1,25%"
"01.11.2023","17.764,00","17.710,00","17.938,00","17.625,00","13,71K","0,02%"
"31.10.2023","17.760,00","17.603,00","17.800,00","17.450,00","26,26K","0,62%"
"30.10.2023","17.650,00","17.429,00","17.815,00","17.350,00","27,50K","1,58%"
"27.10.2023","17.376,00","17.269,00","17.470,00","17.002,00","24,59K","0,44%"
"26.10.2023","17.300,00","17.276,00","17.765,00","17.233,00","27,45K","0,33%"
"25.10.2023","17.243,00","17.216,00","17.411,00","17.024,00","18,38K","0,22%"
"24.10.2023","17.205,00","17.192,00","17.300,00","16.913,00","13,53K","0,61%"
"23.10.2023","17.101,00","17.207,00","17.296,00","16.826,00","23,85K","-0,99%"
"20.10.2023","17.272,00","17.008,00","17.509,00","16.861,00","30,29K","1,59%"
"19.10.2023","17.001,00","16.750,00","17.062,00","16.600,00","9,70K","1,55%"
"18.10.2023","16.742,00","16.775,00","16.845,00","16.551,00","12,16K","-0,40%"
"17.10.2023","16.810,00","16.527,00","16.850,00","16.480,00","12,99K","1,88%"
"16.10.2023","16.499,00","16.429,00","16.650,00","16.405,00","9,54K","0,22%"
"13.10.2023","16.463,00","16.547,00","16.557,00","16.360,00","8,44K","-0,42%"
"12.10.2023","16.532,00","16.776,00","16.830,00","16.173,00","19,51K","-1,40%"
"11.10.2023","16.767,00","16.684,00","16.799,00","16.655,00","6,80K","0,58%"
"10.10.2023","16.671,00","16.625,00","16.685,00","16.513,00","9,97K","0,63%"
"09.10.2023","16.567,00","16.536,00","16.879,00","16.530,00","17,24K","0,46%"
"06.10.2023","16.491,00","16.534,00","16.670,00","16.400,00","8,63K","-0,02%"
"05.10.2023","16.495,00","16.505,00","16.535,00","16.344,00","8,66K","-0,43%"
"04.10.2023","16.567,00","16.495,00","16.600,00","16.466,00","6,36K","0,66%"
"03.10.2023","16.458,00","16.491,00","16.520,00","16.337,00","8,22K","-0,32%"
"02.10.2023","16.511,00","16.573,00","16.682,00","16.459,00","8,66K","-0,15%"
"29.09.2023","16.536,00","16.496,00","16.738,00","16.450,00","12,00K","-0,02%"
"28.09.2023","16.539,00","16.320,00","16.566,00","16.304,00","7,52K","1,58%"
"27.09.2023","16.281,00","16.230,00","16.332,00","16.079,00","11,05K","0,26%"
"26.09.2023","16.238,00","16.252,00","16.351,00","16.020,00","10,50K","-0,26%"
"25.09.2023","16.281,00","16.272,00","16.375,00","16.129,00","8,60K","0,09%"
"22.09.2023","16.266,00","16.438,00","16.564,00","16.102,00","13,62K","1,40%"
"21.09.2023","16.042,00","16.114,00","16.488,00","15.938,00","11,63K","-0,81%"
"20.09.2023","16.173,00","16.124,00","16.312,00","15.873,00","18,65K","0,20%"
"19.09.2023","16.140,00","16.364,00","16.366,00","16.055,00","14,27K","-0,98%"
"18.09.2023","16.300,00","16.519,00","16.560,00","16.255,00","9,73K","-1,61%"
"15.09.2023","16.567,00","16.366,00","16.573,00","16.264,00","10,75K","1,49%"
"14.09.2023","16.324,00","16.408,00","16.567,00","16.059,00","12,59K","-0,72%"
"13.09.2023","16.443,00","16.520,00","16.590,00","16.374,00","7,75K","-0,41%"
"12.09.2023","16.510,00","16.350,00","16.664,00","16.225,00","36,20K","1,43%"
"11.09.2023","16.277,00","16.368,00","16.437,00","16.158,00","11,69K","-0,52%"
"08.09.2023","16.362,00","16.566,00","16.690,00","16.220,00","14,31K","-1,29%"
"07.09.2023","16.575,00","17.009,00","17.249,00","16.454,00","20,65K","-2,55%"
"06.09.2023","17.009,00","17.091,00","17.200,00","16.956,00","8,33K","-0,71%"
"05.09.2023","17.130,00","17.192,00","17.326,00","16.974,00","13,97K","-0,27%"
"04.09.2023","17.176,00","16.939,00","17.254,00","16.871,00","10,66K","1,11%"
"01.09.2023","16.987,00","16.933,00","17.035,00","16.818,00","7,88K","0,24%"
"31.08.2023","16.946,00","16.813,00","17.067,00","16.750,00","10,51K","0,47%"
