"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2023","33.047,00","33.105,00","33.167,00","32.878,00","1,35K","-0,08%"
"06.11.2023","33.075,00","32.578,00","33.189,00","32.428,00","1,28K","1,75%"
"03.11.2023","32.505,00","32.816,00","32.916,00","32.127,00","3,06K","-0,90%"
"02.11.2023","32.801,00","33.016,00","33.337,00","32.800,00","2,48K","-0,70%"
"01.11.2023","33.031,00","33.298,00","33.701,00","32.940,00","1,73K","-1,90%"
"31.10.2023","33.670,00","33.858,00","34.050,00","33.141,00","2,29K","-0,57%"
"30.10.2023","33.862,00","33.290,00","34.384,00","33.222,00","2,35K","1,52%"
"27.10.2023","33.354,00","33.542,00","33.691,00","32.750,00","2,85K","-0,53%"
"26.10.2023","33.533,00","34.351,00","34.551,00","33.503,00","3,05K","-2,61%"
"25.10.2023","34.431,00","33.871,00","35.037,00","33.333,00","7,31K","1,58%"
"24.10.2023","33.897,00","33.355,00","34.040,00","32.808,00","5,05K","1,67%"
"23.10.2023","33.340,00","33.517,00","33.651,00","33.117,00","1,86K","-0,29%"
"20.10.2023","33.438,00","33.787,00","33.889,00","33.069,00","3,20K","-0,67%"
"19.10.2023","33.664,00","33.995,00","34.071,00","33.640,00","1,17K","-1,04%"
"18.10.2023","34.017,00","33.971,00","34.120,00","33.591,00","1,90K","-0,09%"
"17.10.2023","34.047,00","33.767,00","34.095,00","33.611,00","1,85K","1,04%"
"16.10.2023","33.697,00","33.533,00","33.765,00","33.232,00","2,60K","0,05%"
"13.10.2023","33.679,00","33.279,00","33.780,00","33.190,00","3,09K","1,29%"
"12.10.2023","33.249,00","34.152,00","34.200,00","32.611,00","8,12K","-2,19%"
"11.10.2023","33.995,00","34.392,00","34.464,00","33.835,00","3,86K","-1,09%"
"10.10.2023","34.371,00","34.534,00","34.699,00","34.225,00","3,09K","-0,23%"
"09.10.2023","34.450,00","34.734,00","35.585,00","34.427,00","6,47K","-0,69%"
"06.10.2023","34.690,00","34.834,00","35.087,00","34.366,00","3,58K","-0,44%"
"05.10.2023","34.842,00","34.709,00","35.093,00","33.800,00","6,20K","0,39%"
"04.10.2023","34.707,00","34.550,00","35.285,00","34.301,00","7,89K","0,61%"
"03.10.2023","34.496,00","33.614,00","34.724,00","33.214,00","8,00K","2,52%"
"02.10.2023","33.648,00","32.376,00","34.507,00","32.376,00","14,67K","3,60%"
"29.09.2023","32.478,00","30.925,00","32.493,00","30.764,00","5,06K","5,21%"
"28.09.2023","30.869,00","30.038,00","30.899,00","30.008,00","1,77K","2,36%"
"27.09.2023","30.156,00","29.883,00","30.300,00","29.738,00","1,56K","1,35%"
"26.09.2023","29.754,00","30.089,00","30.116,00","29.559,00","1,76K","-1,32%"
"25.09.2023","30.152,00","29.842,00","30.300,00","29.468,00","1,96K","0,78%"
"22.09.2023","29.918,00","29.882,00","29.983,00","29.356,00","2,26K","4,13%"
"21.09.2023","28.731,00","29.084,00","29.401,00","28.700,00","1,23K","-1,67%"
"20.09.2023","29.220,00","29.635,00","29.721,00","28.625,00","3,02K","-1,34%"
"19.09.2023","29.616,00","30.426,00","30.470,00","29.354,00","3,45K","-2,73%"
"18.09.2023","30.448,00","30.650,00","30.924,00","30.300,00","1,14K","-0,41%"
"15.09.2023","30.574,00","30.498,00","30.841,00","30.128,00","1,59K","0,95%"
"14.09.2023","30.286,00","30.582,00","30.582,00","29.805,00","2,79K","-1,26%"
"13.09.2023","30.674,00","30.665,00","30.987,00","30.515,00","1,07K","0,45%"
