"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2023","925,50","925,00","932,50","917,50","490,05K","-0,27%"
"06.11.2023","928,00","927,00","938,00","922,50","527,74K","0,27%"
"03.11.2023","925,50","923,00","936,00","917,50","607,65K","0,54%"
"02.11.2023","920,50","920,00","929,50","911,50","509,62K","0,93%"
"01.11.2023","912,00","897,50","923,00","895,00","649,45K","1,67%"
"31.10.2023","897,00","901,50","904,50","891,00","453,69K","0,17%"
"30.10.2023","895,50","892,00","901,00","890,00","479,47K","1,99%"
"27.10.2023","878,00","870,00","894,50","867,00","761,43K","0,80%"
"26.10.2023","871,00","870,00","880,50","864,00","630,79K","0,06%"
"25.10.2023","870,50","867,00","878,50","863,00","699,16K","3,14%"
"24.10.2023","844,00","837,00","864,50","831,50","659,22K","1,32%"
"23.10.2023","833,00","840,00","842,50","825,50","551,32K","-2,69%"
"20.10.2023","856,00","871,00","873,50","837,00","733,80K","-1,21%"
"19.10.2023","866,50","863,00","875,00","856,50","530,13K","-0,17%"
"18.10.2023","868,00","868,00","876,50","860,00","540,75K","0,40%"
"17.10.2023","864,50","860,50","873,50","857,00","478,90K","1,95%"
"16.10.2023","848,00","843,00","863,00","836,00","595,16K","1,19%"
"13.10.2023","838,00","838,00","843,00","832,50","466,24K","0,96%"
"12.10.2023","830,00","830,00","837,50","823,50","546,79K","0,79%"
"11.10.2023","823,50","822,00","831,00","816,00","478,31K","0,55%"
"10.10.2023","819,00","830,00","831,50","812,50","504,24K","-1,74%"
"09.10.2023","833,50","848,00","848,00","822,50","423,84K","-2,11%"
"28.09.2023","851,50","847,50","858,00","842,00","478,65K","0,83%"
"27.09.2023","844,50","842,00","851,00","837,50","410,26K","0,36%"
"26.09.2023","841,50","844,50","851,50","835,00","557,58K","-1,58%"
"25.09.2023","855,00","873,00","876,00","839,50","722,15K","-0,81%"
"22.09.2023","862,00","851,50","874,50","851,50","577,71K","-0,23%"
"21.09.2023","864,00","877,00","878,00","851,00","712,85K","-0,75%"
"20.09.2023","870,50","865,00","876,50","862,00","517,54K","0,12%"
"19.09.2023","869,50","873,00","879,00","861,50","504,79K","0,12%"
"18.09.2023","868,50","876,00","877,50","859,00","612,81K","-0,52%"
