"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2023","1.971,00","1.987,60","1.988,40","1.964,10","159,49K","-0,86%"
"06.11.2023","1.988,00","1.997,90","1.999,90","1.986,80","81,39K","-0,44%"
"03.11.2023","1.996,70","1.988,30","2.009,20","1.986,10","193,62K","0,40%"
"02.11.2023","1.988,70","1.988,00","1.998,00","1.977,70","153,72K","0,07%"
"01.11.2023","1.987,30","2.003,10","2.003,10","1.984,30","167,69K","-0,80%"
"31.10.2023","2.003,30","2.010,80","2.015,70","2.000,50","109,17K","-0,29%"
"30.10.2023","2.009,10","1.990,70","2.019,90","1.990,40","200,14K","0,93%"
"27.10.2023","1.990,50","1.993,20","2.001,00","1.987,60","107,51K","-0,11%"
"26.10.2023","1.992,60","1.992,50","2.004,40","1.985,00","141,77K","0,03%"
"25.10.2023","1.992,00","1.975,70","1.998,70","1.975,70","175,30K","0,79%"
"24.10.2023","1.976,40","1.984,40","1.990,00","1.965,80","152,07K","-0,41%"
"23.10.2023","1.984,60","1.994,40","1.994,40","1.976,60","155,27K","-0,57%"
"20.10.2023","1.996,00","1.959,90","1.998,00","1.954,00","236,67K","1,93%"
"19.10.2023","1.958,20","1.949,30","1.960,00","1.948,20","116,00K","0,49%"
"18.10.2023","1.948,60","1.933,10","1.963,00","1.925,10","148,66K","0,79%"
"17.10.2023","1.933,30","1.931,40","1.938,50","1.924,50","87,10K","0,12%"
"16.10.2023","1.930,90","1.926,00","1.939,10","1.916,50","176,31K","0,29%"
"13.10.2023","1.925,30","1.886,10","1.926,00","1.880,60","191,88K","2,09%"
"12.10.2023","1.885,80","1.898,00","1.903,10","1.884,30","131,60K","-0,63%"
"11.10.2023","1.897,70","1.888,00","1.899,80","1.884,50","85,76K","0,58%"
"10.10.2023","1.886,70","1.878,00","1.890,80","1.875,30","82,73K","0,40%"
"09.10.2023","1.879,20","1.862,20","1.882,10","1.859,80","95,77K","0,83%"
"06.10.2023","1.863,80","1.848,30","1.865,00","1.846,40","124,56K","0,84%"
"05.10.2023","1.848,20","1.862,40","1.863,10","1.847,20","103,74K","-0,83%"
"04.10.2023","1.863,60","1.858,50","1.865,00","1.852,10","96,91K","0,32%"
"03.10.2023","1.857,70","1.865,60","1.868,10","1.851,80","100,47K","-0,43%"
"02.10.2023","1.865,80","1.888,90","1.891,40","1.860,30","138,02K","-1,22%"
"29.09.2023","1.888,80","1.900,00","1.909,00","1.885,20","130,30K","-0,63%"
"28.09.2023","1.900,80","1.923,50","1.923,50","1.895,50","191,34K","-1,19%"
"27.09.2023","1.923,60","1.935,70","1.936,90","1.923,00","115,50K","-0,64%"
"26.09.2023","1.936,00","1.949,50","1.949,70","1.934,70","67,05K","-0,67%"
"25.09.2023","1.949,10","1.953,10","1.954,70","1.945,50","98,52K","1,34%"
"22.09.2023","1.923,40","1.923,50","1.923,70","1.923,40","5,86K","-0,01%"
"21.09.2023","1.923,50","1.945,90","1.950,40","1.923,30","125,18K","-1,18%"
"20.09.2023","1.946,50","1.938,80","1.948,10","1.933,80","77,38K","0,39%"
"19.09.2023","1.939,00","1.937,80","1.944,20","1.936,40","75,46K","0,07%"
"18.09.2023","1.937,60","1.934,30","1.937,80","1.930,30","62,39K","0,11%"
"15.09.2023","1.935,40","1.917,40","1.936,70","1.915,70","87,67K","1,11%"
"14.09.2023","1.914,20","1.918,90","1.920,10","1.908,60","78,64K","-0,23%"
"13.09.2023","1.918,70","1.920,90","1.923,40","1.913,80","49,05K","-0,11%"
"12.09.2023","1.920,90","1.933,10","1.933,80","1.917,50","75,09K","-0,62%"
"11.09.2023","1.932,90","1.932,60","1.939,30","1.929,40","58,48K","-0,02%"
"08.09.2023","1.933,20","1.934,30","1.941,10","1.931,80","58,10K","-0,04%"
"07.09.2023","1.934,00","1.934,70","1.937,00","1.930,00","55,78K","-0,03%"
"06.09.2023","1.934,60","1.941,60","1.945,30","1.932,60","73,76K","-0,38%"
"05.09.2023","1.942,00","1.952,60","1.952,80","1.940,50","79,56K","-0,53%"
"04.09.2023","1.952,40","1.952,60","1.958,80","1.950,30","49,20K","-0,04%"
"01.09.2023","1.953,20","1.955,20","1.966,00","1.949,50","92,42K","-0,06%"
"31.08.2023","1.954,40","1.958,50","1.961,30","1.954,00","49,09K","-0,24%"
"30.08.2023","1.959,20","1.954,00","1.961,80","1.950,70","95,07K","0,27%"
"29.08.2023","1.953,90","1.945,30","1.954,30","1.936,00","102,86K","0,41%"
"28.08.2023","1.945,90","1.932,30","1.947,10","1.931,80","66,58K","0,67%"
"25.08.2023","1.933,00","1.943,80","1.944,20","1.927,80","94,07K","-0,56%"
"24.08.2023","1.943,80","1.939,70","1.945,90","1.934,10","83,65K","0,23%"
"23.08.2023","1.939,40","1.921,10","1.940,30","1.919,60","100,96K","0,92%"
"22.08.2023","1.921,70","1.911,60","1.924,30","1.911,20","75,92K","0,52%"
"21.08.2023","1.911,70","1.911,30","1.919,70","1.906,60","69,41K","0,07%"
"18.08.2023","1.910,30","1.916,20","1.917,20","1.907,70","75,51K","-0,31%"
"17.08.2023","1.916,20","1.926,00","1.928,10","1.915,60","93,16K","-0,51%"
"16.08.2023","1.926,10","1.933,70","1.933,90","1.925,10","64,58K","-0,42%"
"15.08.2023","1.934,30","1.936,50","1.938,50","1.923,20","108,55K","-0,04%"
"14.08.2023","1.935,00","1.939,10","1.942,00","1.930,50","76,20K","-0,22%"
"11.08.2023","1.939,20","1.943,70","1.946,00","1.934,60","71,23K","-0,22%"
"10.08.2023","1.943,40","1.937,00","1.949,00","1.933,70","86,43K","0,34%"
"09.08.2023","1.936,80","1.940,70","1.948,20","1.935,40","79,83K","-0,22%"
"08.08.2023","1.941,10","1.944,80","1.948,80","1.937,80","103,01K","-0,18%"
"07.08.2023","1.944,60","1.951,90","1.953,60","1.942,10","91,15K","-0,42%"
"04.08.2023","1.952,80","1.946,40","1.955,90","1.936,00","72,36K","0,26%"
"03.08.2023","1.947,80","1.946,00","1.951,10","1.932,50","97,07K","0,18%"
"02.08.2023","1.944,30","1.953,60","1.962,30","1.942,70","113,79K","-0,49%"
"01.08.2023","1.953,90","1.971,80","1.974,30","1.952,40","84,55K","-0,94%"
"31.07.2023","1.972,50","1.963,20","1.973,20","1.951,10","73,80K","0,42%"
"28.07.2023","1.964,30","1.955,10","1.966,00","1.951,50","98,10K","0,45%"
"27.07.2023","1.955,50","1.973,60","1.981,60","1.951,10","138,72K","-0,95%"
"26.07.2023","1.974,30","1.967,20","1.975,70","1.964,90","64,69K","0,37%"
"25.07.2023","1.967,00","1.963,00","1.968,20","1.957,40","80,24K","0,21%"
