"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2023","2.020,00","2.020,00","2.020,00","2.020,00","","0,00%"
"06.11.2023","2.020,00","2.020,00","2.020,00","2.020,00","","0,00%"
"03.11.2023","2.020,00","2.020,00","2.020,00","2.020,00","0,02K","13,64%"
"02.11.2023","1.777,50","1.777,50","1.777,50","1.777,50","","0,00%"
"01.11.2023","1.777,50","1.777,50","1.777,50","1.777,50","","0,00%"
"31.10.2023","1.777,50","1.792,00","1.798,00","1.719,00","0,30K","-1,25%"
"30.10.2023","1.800,00","1.815,00","1.815,00","1.786,00","0,50K","2,21%"
"27.10.2023","1.761,00","1.762,00","1.815,00","1.739,00","0,11K","-0,06%"
"26.10.2023","1.762,00","1.762,50","1.774,00","1.743,00","0,20K","0,60%"
"25.10.2023","1.751,50","1.697,00","1.792,50","1.697,00","0,30K","3,49%"
"24.10.2023","1.692,50","1.680,50","1.736,00","1.662,50","3,40K","0,53%"
"23.10.2023","1.683,50","1.680,00","1.729,00","1.644,00","2,51K","-5,02%"
"20.10.2023","1.772,50","1.850,00","1.850,00","1.850,00","0,01K","-0,98%"
"19.10.2023","1.790,00","1.790,00","1.790,00","1.790,00","0,01K","0,00%"
"18.10.2023","1.790,00","1.790,00","1.790,00","1.790,00","0,00K","4,07%"
"17.10.2023","1.720,00","1.720,00","1.720,00","1.720,00","0,10K","2,69%"
"16.10.2023","1.675,00","1.675,00","1.675,00","1.675,00","0,01K","-4,29%"
"13.10.2023","1.750,00","1.750,00","1.750,00","1.750,00","","0,00%"
"12.10.2023","1.750,00","1.750,00","1.750,00","1.750,00","","-1,02%"
"11.10.2023","1.768,00","1.768,00","1.768,00","1.768,00","","0,00%"
"10.10.2023","1.768,00","1.768,00","1.768,00","1.768,00","","0,00%"
"09.10.2023","1.768,00","1.768,00","1.768,00","1.768,00","","1,32%"
"28.09.2023","1.745,00","1.700,00","1.783,00","1.700,00","0,12K","2,11%"
"27.09.2023","1.709,00","1.706,00","1.721,50","1.688,50","0,53K","0,18%"
"26.09.2023","1.706,00","1.740,50","1.740,50","1.679,50","0,16K","-1,98%"
"25.09.2023","1.740,50","1.763,00","1.781,50","1.719,00","0,37K","-1,28%"
"22.09.2023","1.763,00","1.765,00","1.785,00","1.738,50","0,33K","-1,70%"
"21.09.2023","1.793,50","1.820,00","1.855,50","1.740,00","0,21K","-1,46%"
"20.09.2023","1.820,00","1.802,50","1.842,00","1.802,50","0,09K","-0,16%"
"19.09.2023","1.823,00","1.787,50","1.863,00","1.786,50","0,23K","1,99%"
"18.09.2023","1.787,50","1.768,00","1.814,00","1.748,00","2,49K","2,49%"
"15.09.2023","1.744,00","1.749,00","1.759,50","1.731,50","2,11K","8,93%"
"14.09.2023","1.601,00","1.560,50","1.750,00","1.560,50","0,12K","-0,74%"
"13.09.2023","1.613,00","1.613,00","1.613,00","1.613,00","0,01K","-2,86%"
"12.09.2023","1.660,50","1.660,50","1.660,50","1.660,50","","0,58%"
"11.09.2023","1.651,00","1.690,00","1.700,00","1.626,00","0,04K","-1,52%"
"08.09.2023","1.676,50","1.676,50","1.676,50","1.676,50","","0,00%"
"07.09.2023","1.676,50","1.681,00","1.681,00","1.670,00","0,01K","7,81%"
"06.09.2023","1.555,00","1.663,00","1.663,00","1.550,00","0,09K","-8,74%"
"05.09.2023","1.704,00","1.659,50","1.798,50","1.659,50","0,17K","5,54%"
