"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"07.11.2023","22,99","23,51","23,61","22,88","231,30K","-2,25%"
"06.11.2023","23,52","23,55","23,65","23,46","91,40K","-0,04%"
"03.11.2023","23,53","23,25","23,66","23,10","313,95K","1,25%"
"02.11.2023","23,24","23,18","23,58","23,02","266,75K","0,22%"
"01.11.2023","23,19","23,60","23,60","23,06","217,31K","-1,74%"
"31.10.2023","23,60","23,74","23,86","23,46","153,58K","-0,51%"
"30.10.2023","23,72","23,22","23,99","23,18","250,13K","2,11%"
"27.10.2023","23,23","23,20","23,43","23,19","123,61K","0,13%"
"26.10.2023","23,20","23,32","23,60","22,99","186,80K","-0,47%"
"25.10.2023","23,31","23,35","23,51","23,07","121,11K","-0,17%"
"24.10.2023","23,35","23,57","23,67","23,16","118,03K","-0,89%"
"23.10.2023","23,56","23,91","23,97","23,42","148,69K","-1,67%"
"20.10.2023","23,96","23,23","24,00","23,10","229,83K","3,14%"
"19.10.2023","23,23","23,28","23,43","23,02","140,08K","-0,17%"
"18.10.2023","23,27","23,27","23,67","23,10","173,74K","0,09%"
"17.10.2023","23,25","23,05","23,38","22,87","119,32K","0,87%"
"16.10.2023","23,05","23,07","23,17","22,95","161,69K","0,00%"
"13.10.2023","23,05","22,36","23,12","22,30","278,11K","3,09%"
"12.10.2023","22,36","22,58","22,74","22,30","230,20K","-0,93%"
"11.10.2023","22,57","22,42","22,66","22,31","173,46K","0,76%"
"10.10.2023","22,40","22,36","22,49","22,21","138,21K","0,09%"
"09.10.2023","22,38","22,12","22,47","22,05","179,18K","1,08%"
"06.10.2023","22,14","21,45","22,19","21,44","372,78K","3,36%"
"05.10.2023","21,42","21,68","21,96","21,40","233,74K","-1,20%"
"04.10.2023","21,68","21,91","22,07","21,40","253,82K","-0,96%"
"03.10.2023","21,89","22,10","22,15","21,71","297,12K","-0,86%"
"02.10.2023","22,08","23,04","23,12","22,03","344,86K","-4,08%"
"29.09.2023","23,02","23,33","24,03","22,98","289,79K","-1,20%"
"28.09.2023","23,30","23,34","23,52","23,18","158,08K","-0,30%"
"27.09.2023","23,37","23,54","23,62","23,12","153,26K","-0,81%"
"26.09.2023","23,56","23,81","23,86","23,51","117,25K","-1,09%"
"25.09.2023","23,82","24,21","24,28","23,70","111,98K","2,50%"
"22.09.2023","23,24","23,22","23,24","23,22","19,35K","0,09%"
"21.09.2023","23,22","23,51","23,68","23,14","93,16K","-1,28%"
"20.09.2023","23,52","23,20","23,61","23,18","98,53K","1,38%"
"19.09.2023","23,20","23,26","23,48","23,19","92,90K","-0,26%"
"18.09.2023","23,26","23,29","23,34","23,11","93,12K","-0,26%"
"15.09.2023","23,32","22,74","23,96","22,73","151,97K","2,64%"
"14.09.2023","22,72","23,07","23,10","22,51","198,47K","-1,56%"
"13.09.2023","23,08","23,23","23,30","22,95","70,86K","-0,65%"
"12.09.2023","23,23","23,25","23,31","23,03","91,20K","0,00%"
"11.09.2023","23,23","23,14","23,36","23,06","68,74K","0,35%"
"08.09.2023","23,15","23,20","23,36","23,09","78,63K","-0,22%"
"07.09.2023","23,20","23,37","23,44","23,12","95,27K","-0,73%"
"06.09.2023","23,37","23,79","23,79","23,25","111,02K","-1,77%"
"05.09.2023","23,79","24,22","24,23","23,68","146,77K","-1,73%"
"04.09.2023","24,21","24,46","24,51","24,17","57,15K","-1,10%"
"01.09.2023","24,48","24,64","25,02","24,41","101,44K","-0,53%"
"31.08.2023","24,61","24,93","24,96","24,57","78,42K","-1,28%"
"30.08.2023","24,93","24,92","25,30","24,73","116,06K","0,08%"
"29.08.2023","24,91","24,59","24,96","24,44","99,98K","1,34%"
"28.08.2023","24,58","24,41","24,59","24,28","59,70K","0,57%"
"25.08.2023","24,44","24,41","24,60","24,14","105,92K","0,08%"
"24.08.2023","24,42","24,52","24,61","24,28","93,41K","-0,41%"
"23.08.2023","24,52","23,79","24,54","23,72","176,55K","3,07%"
"22.08.2023","23,79","23,58","23,84","23,55","102,18K","1,02%"
"21.08.2023","23,55","23,20","23,65","23,12","91,45K","1,60%"
